ID,VIDEO,LABEL
1,D0001T.mp4,địa chỉ_3
2,D0001N.mp4,địa chỉ_2
3,D0001B.mp4,địa chỉ_1
4,D0002.mp4,tỉnh_1
5,D0003.mp4,tiếp tân_1
6,D0005N.mp4,Miến Điện (nước Mi-an-ma)_2
7,D0005B.mp4,Miến Điện (nước Mi-an-ma)_1
7,D0005T.mp4,Miến Điện (nước Mi-an-ma)_3
9,D0004.mp4,nhân viên_1
10,D0007.mp4,Do Thái_1
11,D0006.mp4,Ma Cao_1
12,D0009.mp4,phương Tây_1
13,D0008.mp4,Ả Rập (nước Ả Rập)_1
14,D0012.mp4,Albania (nước Albania)_1
14,D0010.mp4,phương Đông_1
16,D0011.mp4,Đu Bai (nước Đu Bai)_1
17,D0014.mp4,nhập khẩu_1
18,D0013.mp4,người nước ngoài_1
19,D0015.mp4,Tuy Hoà_1
20,D0016.mp4,Quy Nhơn_1
21,D0019B.mp4,ghen tị_1
22,D0017.mp4,hấp dẫn_1
23,D0019N.mp4,ghen tị_2
24,D0019T.mp4,ghen tị_3
25,D0020B.mp4,lung tung_1
26,D0020N.mp4,lung tung_2
27,D0018.mp4,nổi da gà_1
28,D0021.mp4,hói đầu_1
29,D0023.mp4,cười vỡ bụng_1
30,D0024B.mp4,tham ăn_1
31,D0022.mp4,cười nhếch mép_1
32,D0020T.mp4,lung tung_3
33,D0026.mp4,thèm_1
34,D0027.mp4,thèm rỏ dãi_1
35,D0028.mp4,đứng đầu (hàng đầu)_1
36,D0024N.mp4,tham ăn_2
36,D0029B.mp4,thói quen_1
38,D0024T.mp4,tham ăn_3
39,D0030.mp4,khuyến khích_1
40,D0031B.mp4,không nghe lời_1
41,D0031N.mp4,không nghe lời_2
42,D0029N.mp4,thói quen_2
43,D0029T.mp4,thói quen_3
44,D0031T.mp4,không nghe lời_3
45,D0033N.mp4,không cho_2
46,D0032.mp4,ai cho_1
47,D0033T.mp4,không cho_3
48,D0034.mp4,không cần_1
49,D0035N.mp4,không nên_2
49,D0035B.mp4,không nên_1
51,D0035T.mp4,không nên_3
52,D0036.mp4,bực mình_1
53,D0033B.mp4,không cho_1
54,D0039.mp4,vô tình_1
55,D0037.mp4,tự giác_1
56,D0040N.mp4,Tết hàn thực_2
57,D0040T.mp4,Tết hàn thực_3
58,D0040B.mp4,Tết hàn thực_1
59,D0038.mp4,mù chữ_1
60,D0042B.mp4,ngày Quốc tế phụ nữ 8/3_1
61,D0042N.mp4,ngày Quốc tế phụ nữ 8/3_2
62,D0041.mp4,giỗ_1
63,D0043B.mp4,ngày giải phóng thủ đô 10/10_1
64,D0043T.mp4,ngày giải phóng thủ đô 10/10_3
65,D0042T.mp4,ngày Quốc tế phụ nữ 8/3_3
66,D0043N.mp4,ngày giải phóng thủ đô 10/10_2
67,D0044B.mp4,ngày Giải phóng miền Nam 30/4_1
68,D0045B.mp4,ngày Người khuyết tật Việt Nam 18/4_1
69,D0044N.mp4,ngày Giải phóng miền Nam 30/4_2
70,D0045N.mp4,ngày Người khuyết tật Việt Nam 18/4_2
71,D0044T.mp4,ngày Giải phóng miền Nam 30/4_3
72,D0046B.mp4,ngày Người khuyết tật Thế giới 3/12_1
73,D0046T.mp4,ngày Người khuyết tật Thế giới 3/12_3
74,D0048B.mp4,lễ Halloween 31/10_1
75,D0045T.mp4,ngày Người khuyết tật Việt Nam 18/4_3
76,D0048T.mp4,lễ Halloween 31/10_3
77,D0048N.mp4,lễ Halloween 31/10_2
78,D0049N.mp4,ngày Phụ nữ Việt Nam 20/10_2
79,D0049T.mp4,ngày Phụ nữ Việt Nam 20/10_3
80,D0050B.mp4,ngày thương bình liệt sĩ 27/7_1
81,D0050N.mp4,ngày thương bình liệt sĩ 27/7_2
82,D0050T.mp4,ngày thương bình liệt sĩ 27/7_3
83,D0049B.mp4,ngày Phụ nữ Việt Nam 20/10_1
84,D0051B.mp4,ngày giỗ tổ Hùng Vương (âm lịch 10/3)_1
85,D0051N.mp4,ngày giỗ tổ Hùng Vương (âm lịch 10/3)_2
86,D0052B.mp4,ngày Ngôn ngữ kí hiệu Quốc tế 23/9_1
87,D0052N.mp4,ngày Ngôn ngữ kí hiệu Quốc tế 23/9_2
88,D0052T.mp4,ngày Ngôn ngữ kí hiệu Quốc tế 23/9_3
89,D0051T.mp4,ngày giỗ tổ Hùng Vương (âm lịch 10/3)_3
90,D0053B.mp4,tuần lễ người Điếc thế giới_1
91,D0053N.mp4,tuần lễ người Điếc thế giới_2
92,D0046N.mp4,ngày Người khuyết tật Thế giới 3/12_2
93,D0054B.mp4,ngày của Mẹ_1
94,D0054N.mp4,ngày của Mẹ_2
95,D0054T.mp4,ngày của Mẹ_3
96,D0055N.mp4,ngày của Cha_2
97,D0055B.mp4,ngày của Cha_1
98,D0053T.mp4,tuần lễ người Điếc thế giới_3
99,D0056B.mp4,ngày gia đình Việt Nam 28/6_1
100,D0055T.mp4,ngày của Cha_3
